iter	Passed	Remaining
0	1	173
1	2	136
2	3	119
3	4	108
4	5	105
5	6	101
6	7	99
7	8	97
8	9	95
9	10	94
10	11	92
11	12	91
12	13	89
13	14	88
14	15	86
15	16	85
16	17	84
17	18	82
18	19	81
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	25	76
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	38	62
38	39	61
39	39	59
40	40	58
41	41	56
42	42	55
43	43	54
44	44	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	77	18
81	79	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	85	10
89	86	9
90	87	8
91	88	7
92	89	6
93	90	5
94	91	4
95	92	3
96	93	2
97	94	1
98	95	0
99	96	0
